Tempo de loading:1.729 seg
Tempo total de Execução: 2.400274
.208 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 1_Comand 2_Timer: 0.027 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 1_Comand 3_Timer: 0.013 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 1_Comand 4_Timer: 0.012 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 1_Comand 5_Timer: 0.019 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 1_Comand 6_Timer: 0.010 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 1_Comand 7_Timer: 0.013 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 1_Comand 8_Timer: 0.011 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 1_Comand 9_Timer: 0.009 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 1_Comand 10_Timer: 0.012 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 1_Comand 11_Timer: 0.010 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 1_Comand 12_Timer: 0.010 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 1_Comand 13_Timer: 0.009 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 1_Comand 14_Timer: 0.009 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 1_Comand 15_Timer: 0.118 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 1_Comand 16_Timer: 0.015 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 1_Comand 17_Timer: 0.103 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 1_Comand 18_Timer: 0.032 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 1_Comand 19_Timer: 0.034 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 1_Comand 20_Timer: 0.016 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 1_Comand 21_Timer: 0.024 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 1_Comand 22_Timer: 0.021 sg | Executou em Tempo Útil : SIM :) |File didn't open |
Numero da query: 1_Comand 23_Timer: 0.014 sg | Executou em Tempo Útil : SIM :) |File didn't open |
